"","Prevalence","TotalAbundance"
"ASV309",2,66
"ASV310",3,65
"ASV311",3,64
"ASV312",1,64
"ASV313",4,62
"ASV314",1,61
"ASV315",1,60
"ASV316",2,60
"ASV317",1,60
"ASV318",2,59
"ASV319",1,58
"ASV320",3,56
"ASV321",1,56
"ASV322",1,55
"ASV323",2,55
"ASV324",1,55
"ASV325",2,54
"ASV326",2,53
"ASV327",1,53
"ASV328",2,52
"ASV329",1,52
"ASV330",1,52
"ASV331",3,51
"ASV332",3,49
"ASV333",2,49
"ASV334",4,48
"ASV335",2,47
"ASV336",1,46
"ASV337",2,46
"ASV338",9,43
"ASV339",1,45
"ASV340",3,45
"ASV341",1,45
"ASV342",1,45
"ASV343",1,43
"ASV344",1,43
"ASV345",2,42
"ASV346",3,42
"ASV347",2,41
"ASV348",1,40
"ASV349",2,40
"ASV350",2,40
"ASV351",1,38
"ASV352",4,37
"ASV353",1,37
"ASV354",1,36
"ASV355",2,34
"ASV356",1,33
"ASV357",2,31
"ASV358",2,30
"ASV359",2,27
"ASV360",1,25
"ASV361",1,23
"ASV362",0,0
"ASV363",0,0
"ASV364",0,0
"ASV365",0,0
"ASV366",0,0
